x,y,z,cluster,original_path
28.817444,3.4015536,-5.260858,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00060980_HD_rank4_std19.jpg
9.0121975,16.045218,-14.776411,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00061035_HD_rank0_std29.jpg
10.03782,16.387842,-14.6609535,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00061035_HD_rank1_std30.jpg
7.4564095,11.780627,-14.3076515,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00061044_HD_rank0_std22.jpg
8.0808325,12.656935,-14.880578,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00061044_HD_rank1_std22.jpg
8.18799,12.002832,-14.6931505,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00061044_HD_rank2_std23.jpg
20.20886,-3.8290138,-13.449801,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00061044_HD_rank3_std24.jpg
9.46587,-1.0365447,-6.038008,4,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00061044_HD_rank4_std24.jpg
9.938074,13.680662,-15.474817,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00061073_HD_rank0_std17.jpg
11.565144,11.48012,-10.248855,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00061073_HD_rank1_std25.jpg
15.687537,13.665261,-14.043987,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00061073_HD_rank2_std25.jpg
17.815083,13.416462,-14.171779,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00061073_HD_rank3_std26.jpg
15.208532,8.357253,-13.874561,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00061073_HD_rank4_std27.jpg
10.1021805,23.696648,-11.008996,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00098741_HD_rank0_std23.jpg
17.85734,15.871695,-2.6802454,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00098741_HD_rank1_std24.jpg
10.211924,23.872442,-10.837826,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00098741_HD_rank2_std25.jpg
10.685025,24.140434,-9.8146,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00098741_HD_rank3_std25.jpg
10.012947,23.539879,-11.143733,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00098741_HD_rank4_std25.jpg
17.430902,13.240411,-13.239775,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00107653_HD_rank0_std21.jpg
13.994941,6.854041,-16.033516,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00107653_HD_rank1_std23.jpg
13.531591,9.570287,-12.759224,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00107653_HD_rank2_std24.jpg
17.28812,13.111013,-14.401987,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00107653_HD_rank3_std24.jpg
13.444648,14.811883,-12.745137,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00107653_HD_rank4_std24.jpg
13.227043,12.384684,-11.708631,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00107657_HD_rank0_std27.jpg
16.715567,6.1820316,-10.340104,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00107657_HD_rank1_std29.jpg
15.748315,8.899447,-9.995253,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00107657_HD_rank2_std30.jpg
24.6559,0.06154665,-9.496758,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00107657_HD_rank3_std30.jpg
26.609606,2.6667693,-5.7402663,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00107657_HD_rank4_std30.jpg
12.564568,3.7472193,-9.749993,4,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\仲珪镜_新00122436_HD_rank0_std12.jpg
12.378236,2.819403,-13.424991,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\仲珪镜_新00122436_HD_rank1_std13.jpg
12.359942,2.620222,-13.406271,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\仲珪镜_新00122436_HD_rank2_std14.jpg
13.00392,2.407024,-12.578672,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\仲珪镜_新00122436_HD_rank3_std17.jpg
0.689052,13.610118,-7.674613,4,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\仲珪镜_新00122436_HD_rank4_std19.jpg
19.622105,8.774865,-7.7256827,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\佩饰_新00065380_HD_rank0_std28.jpg
19.812145,8.5545025,-7.646737,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\佩饰_新00065380_HD_rank1_std30.jpg
19.749655,9.40041,-6.465326,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\佩饰_新00065380_HD_rank2_std31.jpg
19.68112,8.816084,-7.588352,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\佩饰_新00065380_HD_rank3_std31.jpg
9.012414,26.239534,-8.512117,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\佩饰_新00065381_HD_rank0_std27.jpg
16.71974,1.2812744,-17.754816,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\兽纹镜_新00196883_HD_rank0_std21.jpg
16.677038,1.7705522,-18.291283,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\兽纹镜_新00196883_HD_rank1_std23.jpg
16.673853,1.829625,-18.340069,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\兽纹镜_新00196883_HD_rank2_std27.jpg
16.763874,0.802348,-17.284983,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\兽纹镜_新00196883_HD_rank3_std28.jpg
16.732973,0.76256967,-17.359089,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\兽纹镜_新00196883_HD_rank4_std28.jpg
-12.173569,10.8260565,14.419672,2,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\兽首纹韘_新00115565_HD_rank0_std5.jpg
-12.115166,10.841916,14.454528,2,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\兽首纹韘_新00115565_HD_rank1_std8.jpg
-12.21992,10.852779,14.400598,2,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\兽首纹韘_新00115565_HD_rank2_std11.jpg
-7.074097,21.675009,12.813381,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\兽首纹韘_新00115565_HD_rank3_std12.jpg
-11.729575,10.891482,14.636268,2,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\兽首纹韘_新00115565_HD_rank4_std14.jpg
15.704779,-3.9609075,-11.020812,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\双凤纹镜_新00060982_HD_rank0_std19.jpg
25.111668,1.0207661,-1.0548165,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\双凤纹镜_新00060982_HD_rank1_std21.jpg
23.83711,-7.6126785,-8.025853,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\双凤纹镜_新00060982_HD_rank2_std22.jpg
16.378277,-2.21713,-16.678396,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\双凤纹镜_新00060982_HD_rank3_std23.jpg
23.835348,-7.5808125,-7.8451934,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\双凤纹镜_新00060982_HD_rank4_std24.jpg
7.6772156,31.907793,-0.012375352,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\双凤纹镜_新00082624_HD_rank0_std13.jpg
7.6739,31.97131,-0.010509371,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\双凤纹镜_新00082624_HD_rank1_std14.jpg
23.67631,12.0701885,10.528207,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\双凤纹镜_新00082624_HD_rank2_std14.jpg
23.843704,12.482097,10.340861,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\双凤纹镜_新00082624_HD_rank3_std15.jpg
7.6342335,31.613052,-0.38645548,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\双凤纹镜_新00082624_HD_rank4_std15.jpg
23.387764,-8.608012,-3.5802724,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\双凤纹镜_新00127443_HD_rank0_std24.jpg
23.835388,-7.511283,-5.669793,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\双凤纹镜_新00127443_HD_rank1_std24.jpg
26.704067,-2.2228417,-7.4305053,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\双凤纹镜_新00127443_HD_rank2_std24.jpg
23.542755,-7.3700833,-6.3205595,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\双凤纹镜_新00127443_HD_rank3_std25.jpg
20.612076,-2.1029348,-10.5462265,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\双凤纹镜_新00127443_HD_rank4_std26.jpg
18.32301,-8.940583,-7.9170027,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\双鱼纹镜_新00061045_HD_rank0_std18.jpg
27.263416,2.4166086,-2.6383488,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\双鱼纹镜_新00061045_HD_rank1_std20.jpg
19.64404,-9.605864,-6.929463,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\双鱼纹镜_新00061045_HD_rank2_std21.jpg
19.83405,-9.458546,-6.8647413,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\双鱼纹镜_新00061045_HD_rank3_std21.jpg
21.217852,-9.21153,-4.9919734,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\双鱼纹镜_新00061045_HD_rank4_std22.jpg
17.156622,-1.8050824,-18.357195,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\双鱼纹镜_新00105804_HD_rank0_std15.jpg
